,state,county,state_name,county_name,estimate_population
5,1,1,Alabama,Autauga County,61464
11,1,3,Alabama,Baldwin County,261608
17,1,5,Alabama,Barbour County,24358
23,1,7,Alabama,Bibb County,22258
29,1,9,Alabama,Blount County,60163
35,1,11,Alabama,Bullock County,9901
41,1,13,Alabama,Butler County,18256
47,1,15,Alabama,Calhoun County,116427
53,1,17,Alabama,Chambers County,33813
59,1,19,Alabama,Cherokee County,26138
65,1,21,Alabama,Chilton County,47262
71,1,23,Alabama,Choctaw County,12052
77,1,25,Alabama,Clarke County,22142
83,1,27,Alabama,Clay County,14239
89,1,29,Alabama,Cleburne County,15905
95,1,31,Alabama,Coffee County,56358
101,1,33,Alabama,Colbert County,58785
107,1,35,Alabama,Conecuh County,11109
113,1,37,Alabama,Coosa County,10291
119,1,39,Alabama,Covington County,37748
125,1,41,Alabama,Crenshaw County,13114
131,1,43,Alabama,Cullman County,92604
137,1,45,Alabama,Dale County,50067
143,1,47,Alabama,Dallas County,35545
149,1,49,Alabama,DeKalb County,73122
155,1,51,Alabama,Elmore County,91042
161,1,53,Alabama,Escambia County,36630
167,1,55,Alabama,Etowah County,103207
173,1,57,Alabama,Fayette County,15863
179,1,59,Alabama,Franklin County,31874
185,1,61,Alabama,Geneva County,27259
191,1,63,Alabama,Greene County,7127
197,1,65,Alabama,Hale County,15116
203,1,67,Alabama,Henry County,18141
209,1,69,Alabama,Houston County,109366
215,1,71,Alabama,Jackson County,53780
221,1,73,Alabama,Jefferson County,664744
227,1,75,Alabama,Lamar County,13543
233,1,77,Alabama,Lauderdale County,97502
239,1,79,Alabama,Lawrence County,33567
245,1,81,Alabama,Lee County,187847
251,1,83,Alabama,Limestone County,118942
257,1,85,Alabama,Lowndes County,9485
263,1,87,Alabama,Macon County,18159
269,1,89,Alabama,Madison County,423355
275,1,91,Alabama,Marengo County,18512
281,1,93,Alabama,Marion County,29323
287,1,95,Alabama,Marshall County,102156
293,1,97,Alabama,Mobile County,412339
299,1,99,Alabama,Monroe County,19057
305,1,101,Alabama,Montgomery County,225894
311,1,103,Alabama,Morgan County,126084
317,1,105,Alabama,Perry County,7719
323,1,107,Alabama,Pickens County,18508
329,1,109,Alabama,Pike County,33124
335,1,111,Alabama,Randolph County,23067
341,1,113,Alabama,Russell County,58837
347,1,115,Alabama,St. Clair County,96927
353,1,117,Alabama,Shelby County,235969
359,1,119,Alabama,Sumter County,11607
365,1,121,Alabama,Talladega County,81375
371,1,123,Alabama,Tallapoosa County,40699
377,1,125,Alabama,Tuscaloosa County,241212
383,1,127,Alabama,Walker County,65260
389,1,129,Alabama,Washington County,15018
395,1,131,Alabama,Wilcox County,9865
401,1,133,Alabama,Winston County,23869
407,2,13,Alaska,Aleutians East Borough,3632
413,2,16,Alaska,Aleutians West Census Area,5424
419,2,20,Alaska,Anchorage Municipality,289600
425,2,50,Alaska,Bethel Census Area,18237
431,2,60,Alaska,Bristol Bay Borough,884
437,2,63,Alaska,Chugach Census Area,6604
443,2,66,Alaska,Copper River Census Area,2631
449,2,68,Alaska,Denali Borough,1621
455,2,70,Alaska,Dillingham Census Area,4642
461,2,90,Alaska,Fairbanks North Star Borough,94951
467,2,100,Alaska,Haines Borough,2104
473,2,105,Alaska,Hoonah-Angoon Census Area,2312
479,2,110,Alaska,Juneau City and Borough,31572
485,2,122,Alaska,Kenai Peninsula Borough,61259
491,2,130,Alaska,Ketchikan Gateway Borough,13677
497,2,150,Alaska,Kodiak Island Borough,12654
503,2,158,Alaska,Kusilvak Census Area,7946
509,2,164,Alaska,Lake and Peninsula Borough,1315
515,2,170,Alaska,Matanuska-Susitna Borough,117613
521,2,180,Alaska,Nome Census Area,9836
527,2,185,Alaska,North Slope Borough,10663
533,2,188,Alaska,Northwest Arctic Borough,7134
539,2,195,Alaska,Petersburg Borough,3436
545,2,198,Alaska,Prince of Wales-Hyder Census Area,5746
551,2,220,Alaska,Sitka City and Borough,8355
557,2,230,Alaska,Skagway Municipality,1119
563,2,240,Alaska,Southeast Fairbanks Census Area,7313
569,2,275,Alaska,Wrangell City and Borough,2064
575,2,282,Alaska,Yakutat City and Borough,690
581,2,290,Alaska,Yukon-Koyukuk Census Area,5099
587,4,1,Arizona,Apache County,64800
593,4,3,Arizona,Cochise County,125773
599,4,5,Arizona,Coconino County,145161
605,4,7,Arizona,Gila County,54073
611,4,9,Arizona,Graham County,40242
617,4,11,Arizona,Greenlee County,9410
623,4,12,Arizona,La Paz County,16992
629,4,13,Arizona,Maricopa County,4673096
635,4,15,Arizona,Mohave County,226479
641,4,17,Arizona,Navajo County,109516
647,4,19,Arizona,Pima County,1080149
653,4,21,Arizona,Pinal County,513862
659,4,23,Arizona,Santa Cruz County,50508
665,4,25,Arizona,Yavapai County,252013
671,4,27,Arizona,Yuma County,220310
677,5,1,Arkansas,Arkansas County,16050
683,5,3,Arkansas,Ashley County,17984
689,5,5,Arkansas,Baxter County,43007
695,5,7,Arkansas,Benton County,321566
701,5,9,Arkansas,Boone County,38636
707,5,11,Arkansas,Bradley County,9935
713,5,13,Arkansas,Calhoun County,4690
719,5,15,Arkansas,Carroll County,28968
725,5,17,Arkansas,Chicot County,9272
731,5,19,Arkansas,Clark County,20920
737,5,21,Arkansas,Clay County,14112
743,5,23,Arkansas,Cleburne County,25646
749,5,25,Arkansas,Cleveland County,7367
755,5,27,Arkansas,Columbia County,22024
761,5,29,Arkansas,Conway County,21422
767,5,31,Arkansas,Craighead County,115852
773,5,33,Arkansas,Crawford County,62258
779,5,35,Arkansas,Crittenden County,46633
785,5,37,Arkansas,Cross County,16194
791,5,39,Arkansas,Dallas County,6076
797,5,41,Arkansas,Desha County,10321
803,5,43,Arkansas,Drew County,16935
809,5,45,Arkansas,Faulkner County,131611
815,5,47,Arkansas,Franklin County,17586
821,5,49,Arkansas,Fulton County,12546
827,5,51,Arkansas,Garland County,99902
833,5,53,Arkansas,Grant County,18546
839,5,55,Arkansas,Greene County,46928
845,5,57,Arkansas,Hempstead County,19105
851,5,59,Arkansas,Hot Spring County,33313
857,5,61,Arkansas,Howard County,12387
863,5,63,Arkansas,Independence County,38345
869,5,65,Arkansas,Izard County,14291
875,5,67,Arkansas,Jackson County,16673
881,5,69,Arkansas,Jefferson County,63672
887,5,71,Arkansas,Johnson County,26172
893,5,73,Arkansas,Lafayette County,6015
899,5,75,Arkansas,Lawrence County,16305
905,5,77,Arkansas,Lee County,8104
911,5,79,Arkansas,Lincoln County,12868
917,5,81,Arkansas,Little River County,11626
923,5,83,Arkansas,Logan County,21457
929,5,85,Arkansas,Lonoke County,76389
935,5,87,Arkansas,Madison County,17865
941,5,89,Arkansas,Marion County,17593
947,5,91,Arkansas,Miller County,41958
953,5,93,Arkansas,Mississippi County,38095
959,5,95,Arkansas,Monroe County,6415
965,5,97,Arkansas,Montgomery County,8510
971,5,99,Arkansas,Nevada County,8004
977,5,101,Arkansas,Newton County,7026
983,5,103,Arkansas,Ouachita County,21684
989,5,105,Arkansas,Perry County,10251
995,5,107,Arkansas,Phillips County,14661
1001,5,109,Arkansas,Pike County,10027
1007,5,111,Arkansas,Poinsett County,22300
1013,5,113,Arkansas,Polk County,19434
1019,5,115,Arkansas,Pope County,64829
1025,5,117,Arkansas,Prairie County,7935
1031,5,119,Arkansas,Pulaski County,401209
1037,5,121,Arkansas,Randolph County,19040
1043,5,123,Arkansas,St. Francis County,21822
1049,5,125,Arkansas,Saline County,131252
1055,5,127,Arkansas,Scott County,9837
1061,5,129,Arkansas,Searcy County,7836
1067,5,131,Arkansas,Sebastian County,130035
1073,5,133,Arkansas,Sevier County,15735
1079,5,135,Arkansas,Sharp County,18130
1085,5,137,Arkansas,Stone County,12785
1091,5,139,Arkansas,Union County,37008
1097,5,141,Arkansas,Van Buren County,16152
1103,5,143,Arkansas,Washington County,266184
1109,5,145,Arkansas,White County,79091
1115,5,147,Arkansas,Woodruff County,5808
1121,5,149,Arkansas,Yell County,20134
1127,6,1,California,Alameda County,1649060
1133,6,3,California,Alpine County,1099
1139,6,5,California,Amador County,42026
1145,6,7,California,Butte County,208334
1151,6,9,California,Calaveras County,46505
1157,6,11,California,Colusa County,22074
1163,6,13,California,Contra Costa County,1172607
1169,6,15,California,Del Norte County,27009
1175,6,17,California,El Dorado County,192823
1181,6,19,California,Fresno County,1024125
1187,6,21,California,Glenn County,28304
1193,6,23,California,Humboldt County,132380
1199,6,25,California,Imperial County,181724
1205,6,27,California,Inyo County,18485
1211,6,29,California,Kern County,922529
1217,6,31,California,Kings County,154913
1223,6,33,California,Lake County,67764
1229,6,35,California,Lassen County,28340
1235,6,37,California,Los Angeles County,9757179
1241,6,39,California,Madera County,165432
1247,6,41,California,Marin County,256400
1253,6,43,California,Mariposa County,17048
1259,6,45,California,Mendocino County,89175
1265,6,47,California,Merced County,296774
1271,6,49,California,Modoc County,8491
1277,6,51,California,Mono County,12991
